original_column,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
26_Electronica_Basica_+Lab.txt.txt,0.0,0.0,7.759521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9922,0.18986118,0.0,0.0,6.718866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7591078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0241814,0.0,0.0,5.5338774,0.0,0.0,0.0,0.0,0.0,0.0,12.444743,0.0,0.0,0.0,12.096434,0.0,0.0,0.0,0.0,8.751255,0.0,0.0,0.0,10.379765,0.0
7_Ingles_Nivel_2.txt.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.323859,0.0,11.729255,9.538048,0.0,3.1429322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.041424,0.0,0.0,10.580979,0.0,0.0,0.0,0.0,5.667385,0.020487133,0.0,0.0,1.2672347,5.0742884,3.9667583,0.0,0.0,0.0,0.0,0.26098087,0.0,0.0,0.0,0.8522125,0.0,0.0,0.0,0.0,0.0,0.5031966,0.0,0.0,1.8736702,0.0,0.0,5.410537,0.0,0.0,4.1431518,0.0
65_Alta_Cocina_Mundial.txt.txt,0.0,0.0,0.0,0.0,0.0,0.0,10.097398,0.0,0.0,4.175597,0.0,0.0,0.0,0.0,0.43505213,0.0,0.0,0.0,6.9581447,0.0,0.0,0.0,0.0,0.0,7.23825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7590504,9.387284,0.0,0.0,11.593848,0.0,0.0,0.0,0.0,0.0,3.409722,0.0,0.0,0.0,0.0,6.698228,0.0,1.0901325,0.0,5.645842,10.363055
110_Creatividad_Empresarial.txt.txt,0.63065773,0.0,0.0,2.8710284,0.0,0.0,0.0,10.6776085,4.4990544,0.0,0.0,3.3512528,3.6959975,0.0,0.0,0.0,0.39362264,2.540748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0061307,0.0,3.2735643,0.0,0.0,4.4007564,3.5975785,0.0,6.0528812,0.0,0.0,7.7268734,0.0,2.2595596,0.0,0.0,2.2078104,0.0,0.0,2.3983495,0.0,0.0,4.552841,0.0,0.0,0.0,2.7927475,4.6787634,0.0,0.0,0.0,0.0,0.0
101_Analisis_de_Datos.txt.txt,0.0,2.674355,0.0,1.2935772,0.0,0.0,0.0,0.0,0.08089302,0.0,0.9799161,0.0,0.45606694,1.1226752,0.0,0.97308093,0.9713186,0.20342085,0.0,0.009692175,0.38907623,0.0,0.068330064,0.0,0.0,1.0755556,1.3769962,0.0,0.0,0.40144342,0.6428178,0.94264024,3.1805985,0.0,1.9191837,0.0,1.5372664,0.0,2.6827579,0.0,2.628342,0.0,0.27236137,2.2165477,0.0,3.8529434,0.0,0.661031,1.5279522,0.1061809,0.0,0.0,2.0828786,0.0,1.939813,0.0,4.5197697,0.0,0.0,0.0
63_Servicio_y_Protocolo.txt.txt,0.0,0.0,0.7572353,0.0,0.4485578,0.40223855,0.0,0.0,0.8171035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6018908,0.8764635,0.0,0.0,0.0,0.0,1.3694236,0.0,6.1602683,0.0,0.0,0.0,0.0,0.0,0.0,4.669632,0.0,1.7443614,0.74092644,0.04704687,1.1042978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5223308,0.0,0.0,0.0,0.6567401,0.0,0.0,0.0,0.0,2.3315928,0.0,0.0,3.0313478,1.4360274
161_Algebra_Lineal_2.txt.txt,0.0,0.0,2.0905955,0.024864161,2.0369227,0.0,0.6099078,0.0,2.6227763,0.0,0.0,0.7031008,0.5003153,1.2091488,0.07437875,0.0,0.0,0.0,0.0,0.0,0.87359345,2.7116785,1.1945176,4.2621727,0.0,0.0,0.83878285,0.8851391,0.15763134,0.89453745,0.9160967,0.0,0.0,0.0,0.0,0.0,0.49561554,0.0,0.0,1.9074566,0.03813439,1.50221,2.8597143,0.0,1.4167904,0.0,0.0,3.5456297,1.5672119,2.0654838,0.55401355,1.0140923,0.0,0.0,0.0,0.0,0.47545356,1.100764,0.0,1.8408215
171_Barra_para_danza_contemporanea.txt.txt,0.0,0.057247296,0.0,3.4040024,0.0,0.0,0.0,0.0,0.0,8.03628,10.943913,0.0,0.0,0.0,0.0,0.0,1.8945442,0.0,0.0,6.3153543,0.0,0.0,0.0,0.0,0.0,9.297852,0.0,0.0,0.0,2.4737058,7.4549446,0.0,10.968046,0.0,0.0,0.0,0.0,4.8074603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9773645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4190288,6.7269235
"183_Procesos,_Metodos_y_Estandares.txt.txt",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2404587,1.2938187,0.0,0.0,0.0,0.0,0.0,0.0,1.7772855,0.0,0.6063516,0.0,0.0,0.0,0.9550664,0.0,0.0,1.2428288,0.0,0.0,0.0,2.481354,3.2092054,0.0,0.22311462,0.0,0.16434637,0.51140517,0.79576164,0.0,0.0,0.0,0.0,0.0,2.1954668,4.756666,0.35816935,0.10124543,0.0,0.0,0.6965261,0.33875236,2.696788,0.0,0.0,1.1169944,0.0,0.0,0.0
129_Coloquios_ART.txt.txt,1.0497174,0.0,0.0,1.7430762,1.4549718,0.9956023,0.0,0.0,0.62256956,0.0,0.9245282,0.0,0.0,0.0,3.807411,0.0,0.75029826,0.0,0.0,0.21565478,2.395162,0.0,1.472256,3.3737917,0.0,0.08641512,0.0,1.620764,1.4612142,0.0,1.9236034,0.31026822,1.2982713,0.0,0.24959204,4.4647923,0.7954178,1.5222163,0.0,0.0,1.8592533,0.056641545,1.056663,3.2153997,4.6640425,1.132321,1.1907101,0.0,3.3323205,0.56024903,1.6813084,2.901008,0.21665357,1.1983017,0.0,0.13050714,0.0,1.856333,0.6920828,2.3066907
