Query,Assigned_Cluster,Matched_Documents
0,0,"11_Ser_y_Cosmos.txt.txt, 62_Pasteleria.txt.txt, 72_Fundamentos_de_la_Educacion.txt.txt, 56_Carniceria.txt.txt, 25_Cultura_Gastronomica.txt.txt, 64_Practica_Culinaria_2.txt.txt, 60_Coloquios_Gastr.txt.txt, 91_Inclusion_y_Diversidad.txt.txt, 140_Arte_y_Educacion___Curaduria.txt.txt, 93_Practica_4.txt.txt, 21_Programacion_de_Apps.txt.txt, 81_Practica_1.txt.txt, 90_Practica_3.txt.txt, 132_Enfasis_1.txt.txt, 20_Ingles_Nivel_6.txt.txt, 41_Coloquios_ING.txt.txt, 88_Ensenanza_de_Ciencias.txt.txt, 40_Practica_Pre-Profesional_PASEM.txt.txt, 170_Danza_Moderna_2.txt.txt, 146_Juegos_y_Narrativa.txt.txt"
1,1,"185_Ingenieria_de_la_Calidad_+_Lab.txt.txt, 7_Ingles_Nivel_2.txt.txt, 171_Barra_para_danza_contemporanea.txt.txt, 129_Coloquios_ART.txt.txt, 130_Arte_y_Contexto_Social.txt.txt, 36_Aprendizaje_Automatico.txt.txt, 102_Principios_de_Finanzas.txt.txt, 181_Inv._de_Operaciones_1_+Lab.txt.txt, 138_Enfasis_3.txt.txt, 135_Gestion_y_Produccion_Cultural.txt.txt, 99_Gerencia_de_Costos.txt.txt, 127_Laboratorio_de_Creacion_2.txt.txt, 78_Planificacion_y_Evaluacion_2.txt.txt, 50_Nutricion_Humana_+Lab.txt.txt, 182_Control_de_Produccion.txt.txt, 118_Fundamentos_de_las_Artes.txt.txt, 117_Herramientas_Digitales_1.txt.txt, 12_Ingles_Nivel_3.txt.txt, 126_Arte_Contemporaneo.txt.txt, 14_Programacion_Avanzada_en_C++.txt.txt, 43_Mineria_de_Datos.txt.txt, 152_Calculo_para_Ciencias_2.txt.txt, 143_Programacion_Para_Diseño_1.txt.txt, 98_Estadistica_Empresarial_+Lab.txt.txt, 82_Metodologias_de_Ensenanza.txt.txt, 121_Dibujo_para_Arte_y_Diseno.txt.txt, 76_Estadistica_para_CCSS.txt.txt, 45_Proyecto_Integrador_CMP.txt.txt, 131_Taller_de_Investigacion.txt.txt, 9_Calculo_Integral_+_Ej.txt.txt, 107_Operaciones_+Lab.txt.txt, 112_Gestion_del_Talento.txt.txt, 148_Calculo_para_Ciencias_1.txt.txt, 46_Matematica_Empresarial_+Ej.txt.txt, 39_Proyectos__Gerencia_y_Analisis.txt.txt, 111_Proyectos_Empresariales.txt.txt, 104_Finanzas_Corporativas.txt.txt, 156_Inferencia_Estadistica.txt.txt, 92_Proyecto_Integrador_EDU.txt.txt, 70_Gerencia_Financiera_HSP.txt.txt, 136_Laboratorio_de_Creacion_3.txt.txt, 103_Coloquios_adm.txt.txt, 120_Laboratorio_de_Creacion_1.txt.txt, 175_Lenguaje_del_Cine.txt.txt, 133_Taller_de_Arte_2.txt.txt, 37_Redes_+Lab.txt.txt, 139_Taller_de_Arte_3.txt.txt, 141_Temas_en_Comunicacion_y_Arte.txt.txt, 124_Teoria_Critica_1__Arte_&_Media.txt.txt"
2,1,"185_Ingenieria_de_la_Calidad_+_Lab.txt.txt, 7_Ingles_Nivel_2.txt.txt, 171_Barra_para_danza_contemporanea.txt.txt, 129_Coloquios_ART.txt.txt, 130_Arte_y_Contexto_Social.txt.txt, 36_Aprendizaje_Automatico.txt.txt, 102_Principios_de_Finanzas.txt.txt, 181_Inv._de_Operaciones_1_+Lab.txt.txt, 138_Enfasis_3.txt.txt, 135_Gestion_y_Produccion_Cultural.txt.txt, 99_Gerencia_de_Costos.txt.txt, 127_Laboratorio_de_Creacion_2.txt.txt, 78_Planificacion_y_Evaluacion_2.txt.txt, 50_Nutricion_Humana_+Lab.txt.txt, 182_Control_de_Produccion.txt.txt, 118_Fundamentos_de_las_Artes.txt.txt, 117_Herramientas_Digitales_1.txt.txt, 12_Ingles_Nivel_3.txt.txt, 126_Arte_Contemporaneo.txt.txt, 14_Programacion_Avanzada_en_C++.txt.txt, 43_Mineria_de_Datos.txt.txt, 152_Calculo_para_Ciencias_2.txt.txt, 143_Programacion_Para_Diseño_1.txt.txt, 98_Estadistica_Empresarial_+Lab.txt.txt, 82_Metodologias_de_Ensenanza.txt.txt, 121_Dibujo_para_Arte_y_Diseno.txt.txt, 76_Estadistica_para_CCSS.txt.txt, 45_Proyecto_Integrador_CMP.txt.txt, 131_Taller_de_Investigacion.txt.txt, 9_Calculo_Integral_+_Ej.txt.txt, 107_Operaciones_+Lab.txt.txt, 112_Gestion_del_Talento.txt.txt, 148_Calculo_para_Ciencias_1.txt.txt, 46_Matematica_Empresarial_+Ej.txt.txt, 39_Proyectos__Gerencia_y_Analisis.txt.txt, 111_Proyectos_Empresariales.txt.txt, 104_Finanzas_Corporativas.txt.txt, 156_Inferencia_Estadistica.txt.txt, 92_Proyecto_Integrador_EDU.txt.txt, 70_Gerencia_Financiera_HSP.txt.txt, 136_Laboratorio_de_Creacion_3.txt.txt, 103_Coloquios_adm.txt.txt, 120_Laboratorio_de_Creacion_1.txt.txt, 175_Lenguaje_del_Cine.txt.txt, 133_Taller_de_Arte_2.txt.txt, 37_Redes_+Lab.txt.txt, 139_Taller_de_Arte_3.txt.txt, 141_Temas_en_Comunicacion_y_Arte.txt.txt, 124_Teoria_Critica_1__Arte_&_Media.txt.txt"
3,1,"185_Ingenieria_de_la_Calidad_+_Lab.txt.txt, 7_Ingles_Nivel_2.txt.txt, 171_Barra_para_danza_contemporanea.txt.txt, 129_Coloquios_ART.txt.txt, 130_Arte_y_Contexto_Social.txt.txt, 36_Aprendizaje_Automatico.txt.txt, 102_Principios_de_Finanzas.txt.txt, 181_Inv._de_Operaciones_1_+Lab.txt.txt, 138_Enfasis_3.txt.txt, 135_Gestion_y_Produccion_Cultural.txt.txt, 99_Gerencia_de_Costos.txt.txt, 127_Laboratorio_de_Creacion_2.txt.txt, 78_Planificacion_y_Evaluacion_2.txt.txt, 50_Nutricion_Humana_+Lab.txt.txt, 182_Control_de_Produccion.txt.txt, 118_Fundamentos_de_las_Artes.txt.txt, 117_Herramientas_Digitales_1.txt.txt, 12_Ingles_Nivel_3.txt.txt, 126_Arte_Contemporaneo.txt.txt, 14_Programacion_Avanzada_en_C++.txt.txt, 43_Mineria_de_Datos.txt.txt, 152_Calculo_para_Ciencias_2.txt.txt, 143_Programacion_Para_Diseño_1.txt.txt, 98_Estadistica_Empresarial_+Lab.txt.txt, 82_Metodologias_de_Ensenanza.txt.txt, 121_Dibujo_para_Arte_y_Diseno.txt.txt, 76_Estadistica_para_CCSS.txt.txt, 45_Proyecto_Integrador_CMP.txt.txt, 131_Taller_de_Investigacion.txt.txt, 9_Calculo_Integral_+_Ej.txt.txt, 107_Operaciones_+Lab.txt.txt, 112_Gestion_del_Talento.txt.txt, 148_Calculo_para_Ciencias_1.txt.txt, 46_Matematica_Empresarial_+Ej.txt.txt, 39_Proyectos__Gerencia_y_Analisis.txt.txt, 111_Proyectos_Empresariales.txt.txt, 104_Finanzas_Corporativas.txt.txt, 156_Inferencia_Estadistica.txt.txt, 92_Proyecto_Integrador_EDU.txt.txt, 70_Gerencia_Financiera_HSP.txt.txt, 136_Laboratorio_de_Creacion_3.txt.txt, 103_Coloquios_adm.txt.txt, 120_Laboratorio_de_Creacion_1.txt.txt, 175_Lenguaje_del_Cine.txt.txt, 133_Taller_de_Arte_2.txt.txt, 37_Redes_+Lab.txt.txt, 139_Taller_de_Arte_3.txt.txt, 141_Temas_en_Comunicacion_y_Arte.txt.txt, 124_Teoria_Critica_1__Arte_&_Media.txt.txt"
4,1,"185_Ingenieria_de_la_Calidad_+_Lab.txt.txt, 7_Ingles_Nivel_2.txt.txt, 171_Barra_para_danza_contemporanea.txt.txt, 129_Coloquios_ART.txt.txt, 130_Arte_y_Contexto_Social.txt.txt, 36_Aprendizaje_Automatico.txt.txt, 102_Principios_de_Finanzas.txt.txt, 181_Inv._de_Operaciones_1_+Lab.txt.txt, 138_Enfasis_3.txt.txt, 135_Gestion_y_Produccion_Cultural.txt.txt, 99_Gerencia_de_Costos.txt.txt, 127_Laboratorio_de_Creacion_2.txt.txt, 78_Planificacion_y_Evaluacion_2.txt.txt, 50_Nutricion_Humana_+Lab.txt.txt, 182_Control_de_Produccion.txt.txt, 118_Fundamentos_de_las_Artes.txt.txt, 117_Herramientas_Digitales_1.txt.txt, 12_Ingles_Nivel_3.txt.txt, 126_Arte_Contemporaneo.txt.txt, 14_Programacion_Avanzada_en_C++.txt.txt, 43_Mineria_de_Datos.txt.txt, 152_Calculo_para_Ciencias_2.txt.txt, 143_Programacion_Para_Diseño_1.txt.txt, 98_Estadistica_Empresarial_+Lab.txt.txt, 82_Metodologias_de_Ensenanza.txt.txt, 121_Dibujo_para_Arte_y_Diseno.txt.txt, 76_Estadistica_para_CCSS.txt.txt, 45_Proyecto_Integrador_CMP.txt.txt, 131_Taller_de_Investigacion.txt.txt, 9_Calculo_Integral_+_Ej.txt.txt, 107_Operaciones_+Lab.txt.txt, 112_Gestion_del_Talento.txt.txt, 148_Calculo_para_Ciencias_1.txt.txt, 46_Matematica_Empresarial_+Ej.txt.txt, 39_Proyectos__Gerencia_y_Analisis.txt.txt, 111_Proyectos_Empresariales.txt.txt, 104_Finanzas_Corporativas.txt.txt, 156_Inferencia_Estadistica.txt.txt, 92_Proyecto_Integrador_EDU.txt.txt, 70_Gerencia_Financiera_HSP.txt.txt, 136_Laboratorio_de_Creacion_3.txt.txt, 103_Coloquios_adm.txt.txt, 120_Laboratorio_de_Creacion_1.txt.txt, 175_Lenguaje_del_Cine.txt.txt, 133_Taller_de_Arte_2.txt.txt, 37_Redes_+Lab.txt.txt, 139_Taller_de_Arte_3.txt.txt, 141_Temas_en_Comunicacion_y_Arte.txt.txt, 124_Teoria_Critica_1__Arte_&_Media.txt.txt"
