original_column,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
184_Ergonomia.txt.txt,-7.869571919576186,-13.40070564752654,-6.245656125458136,-4.44916169852652,-3.6318232442334626,-3.1942464130428148,8.681107160559998,4.831145769985806,2.294408500425768,4.216443019642382,-2.01495055170992,-0.4210056733103271,-1.0499844729523164,-2.961156768114735,-4.76329592736115,2.5070568266022146,-1.0907925679388202,-7.338759845023658,4.41581826443956,-0.9896928324089813
105_Marketing_Digital.txt.txt,8.359763473307284,-7.176077890741956,-1.5027539081267685,10.897201273532714,12.681288520560711,8.293175756883699,-11.251022718954523,6.6157373817667295,-6.620687888984695,0.439762742956116,8.980127237447565,0.41009794341434436,0.10048516420161702,-7.045084443725292,4.397177391176536,2.7162487350028277,3.5205224324950963,-5.848576895419813,2.523597425184875,-5.889362837752872
32_Emprendimiento.txt.txt,-3.1512609792510853,-5.841463668632651,-9.191040048913948,4.086515587123288,11.585304077055014,2.1431447060312525,-4.419976902841755,4.950544476529238,-12.248994578842565,12.354383179828817,-7.847416800807283,-8.568577384254107,-6.777382483547659,11.384415227473072,-10.063571845426136,3.328852648041555,-1.9330329286265096,-13.592711061465097,1.1350313548262854,-13.183550833671662
185_Ingenieria_de_la_Calidad_+_Lab.txt.txt,0.014344034689703083,0.35647820302248223,0.13330409362467843,0.19630842432505233,1.3653040141961486,0.8626826761306488,-0.1709781477148708,-0.047296775614211264,0.4190135205238313,-0.010689235485924715,-0.2214103801995563,-0.5554909801324466,-0.273184197882571,0.20362436352813787,0.9092552619005381,-0.24394754655652903,0.3088155405684103,-0.05733624360287468,-1.1022288511954554,-0.339189022317736
24_Aprendizaje_y_Servicio_PASEC.txt.txt,-9.197227210566863,8.177537947359987,8.550823907701483,2.607526228008088,-6.119929746313218,0.30402293836976635,-2.9242039147321077,-3.2543069989572913,-0.7648252554310705,-3.1044287570654756,4.416326912713736,1.2220373248037746,-3.7376504087428732,3.856997820825007,2.39630277051815,4.290304462087415,-2.585569221259997,0.04916325213015617,-1.1113450351722043,-2.700783033064883
34_Inteligencia_Artificial.txt.txt,10.392437687670894,-4.294161714184959,-10.75840857229028,1.0376057962528253,-5.292645563636387,-4.760547768154899,-5.370263886794442,-12.856370029897034,-3.2620056931993693,-12.737207160144056,-10.822714670837334,-11.58372825042787,-11.166147552775179,-3.4992697990930064,-21.992444285964513,-7.826365959365375,15.595562526580792,10.27043135176029,-12.819273046467108,0.8937606242363205
3_Calculo_Diferencial_+_Ej.txt.txt,44.087702619609864,-10.486181792655476,-2.2554860351765518,-14.860364665872419,-10.735885253993223,2.7139824381373594,-7.254985743860948,-4.127785651656555,-1.1509876765265572,3.6290443929228813,-3.9330989840271275,3.0923751312618806,29.174865815119478,30.154777439848516,13.288985343086772,6.21552977315939,-1.2496966512428989,4.482010484861581,8.640520250993658,-2.1456010584838987
11_Ser_y_Cosmos.txt.txt,-7.316363426994645,4.726707724287528,-1.3818180098000459,-5.544490310687022,-6.169771786144877,1.2860678945983068,3.888099997617218,-7.9307853127477115,-6.190403815092504,-3.6668644212003354,5.609573623644888,4.8928597518859895,-5.37473863445611,-0.45604846095231244,3.644435449906453,7.669367803943337,-2.006528561799017,-0.5078960169927051,-1.1830093524909149,-3.906880000226882
89_Ensenanza_Integrada_de_CITIAM.txt.txt,2.69070852715482,10.388474979477243,-12.411080682105506,-1.687192369321686,7.412626319162862,-14.610288170383079,-7.991840769919779,-4.418543700345391,-10.046387515787574,2.119014163911422,1.3796450004564245,-1.9536492302908748,1.5814692993504191,-23.637593736298037,11.214250840201634,6.155183487777434,-3.5082862338003302,-15.317261357802643,10.920258090631373,-11.40483299955781
155_Logica_y_Teoria_de_Conjuntos.txt.txt,16.432846047561906,-1.3312649336626305,1.2518864440731978,3.3743608631742963,-5.393176377038091,-11.084307287043474,0.1372796649640113,-2.9043807267002704,4.540723609418395,-2.585232877193976,-3.9954348683391787,-3.1570916206802884,6.776324391041291,5.067425861102314,-5.5806912939734525,-4.1359246695354965,-6.111925865875016,-2.916144371272457,2.2944651569734846,3.8515822366841173
26_Electronica_Basica_+Lab.txt.txt,-3.628873804590436,-7.5449940258779,-2.4856840502293323,-15.92829996445892,-4.412280668305521,-7.335825729071979,-0.2246386629359404,-4.517102688647834,9.503565457275753,-3.2221769255414756,2.38042379609008,-5.8326675947358995,-12.650094220059898,1.1767304807297427,-13.288939077019084,2.989917250725368,-3.6197096190783657,-11.593504881331684,6.437173075343045,-2.483522439043082
7_Ingles_Nivel_2.txt.txt,-2.002277148670507,1.3454116412702082,-8.494615530106119,3.6541079512608716,-6.919070695711735,1.5508112714004776,5.99029036252439,-0.350020951373107,-6.0678816675273,-5.794462877046773,-5.209910731061597,-0.15594615358602565,-0.6401497759711502,-6.871751486533423,3.4742041073446,-0.9264097637407146,-0.766227685896576,-0.79743711733312,-2.021345801623887,-4.3847494799405755
65_Alta_Cocina_Mundial.txt.txt,-6.598148210846849,-10.30989336587243,-4.902821288964075,-3.0365026454070794,-2.5798490952348723,-2.718557444429641,7.00921961503897,3.6321455084613654,2.709651579938034,3.7311458252305174,-2.194985717333461,-0.4050649435287168,-1.0036113587746314,-2.6903081550387413,-2.8498980811289476,1.5807339348680374,0.28632787330968507,-4.946361502048555,2.054552329213703,-0.5262649076179315
